Date,BLK Equity,SPXT Index,H15T1Y Index
9/30/1999,14,1759.59,5.22
10/1/1999,14.125,1759.76,5.3
10/4/1999,14.063,1789.71,5.27
10/5/1999,14.188,1785.32,5.33
10/6/1999,14.875,1818.61,5.36
10/7/1999,14.125,1808,5.36
10/8/1999,14.063,1833.22,5.36
10/11/1999,14.063,1832.11,5.36
10/12/1999,14.125,1801.69,5.38
10/13/1999,14.063,1764.1,5.43
10/14/1999,13.625,1761.18,5.45
10/15/1999,13.063,1711.77,5.42
10/18/1999,12.813,1721,5.42
10/19/1999,13.25,1730.87,5.47
10/20/1999,13.125,1769.55,5.49
10/21/1999,13.438,1761.58,5.48
10/22/1999,13.5,1786.36,5.5
10/25/1999,13.938,1775.35,5.54
10/26/1999,14,1759.27,5.57
10/27/1999,14.063,1779.72,5.53
10/28/1999,14.125,1842.8,5.49
10/29/1999,15.25,1870.94,5.43
11/1/1999,14.75,1858.86,5.47
11/2/1999,14.75,1850.13,5.47
11/3/1999,14.75,1860.28,5.46
11/4/1999,14.938,1870.88,5.44
11/5/1999,15.75,1881.33,5.43
11/8/1999,16.625,1890.81,5.48
11/9/1999,16.125,1875.07,5.49
11/10/1999,16.063,1886.51,5.52
11/11/1999,16.125,1897.5,5.52
11/12/1999,18,1917.72,5.49
11/15/1999,17.688,1915.47,5.52
11/16/1999,17.438,1950.83,5.55
11/17/1999,17.5,1938.22,5.57
11/18/1999,17.25,1957.87,5.58
11/19/1999,17.625,1953.84,5.59
11/22/1999,17.813,1952.41,5.63
11/23/1999,19.125,1930.1,5.63
11/24/1999,18.563,1947.21,5.65
11/26/1999,18.438,1946.72,5.68
11/29/1999,18.125,1934.94,5.72
11/30/1999,18.375,1908.97,5.7
12/1/1999,18.563,1921.49,5.73
12/2/1999,19,1937.07,5.77
12/3/1999,19.188,1970.42,5.71
12/6/1999,18.375,1956.76,5.72
12/7/1999,18.625,1937.34,5.68
12/8/1999,18.188,1930.24,5.69
12/9/1999,18.25,1936.09,5.67
12/10/1999,17.625,1948.37,5.67
12/13/1999,17.438,1946.23,5.74
